Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,ID,Latitud,Longitud
USD 600,"Villa Urquiza, Capital Federal",,1.0,45.0,"av. olazabal 4889,Villa Urquiza, Capital Federal, Buenos Aires, Argentina",si,582000.0,12933.333333333334,53269399,-34.57538810204082,-58.484156
USD 2.500,"Barrio Norte, Capital Federal",$ 230.000 Expensas,4.0,170.0,"Juncal al 3200,Barrio Norte, Capital Federal, Buenos Aires, Argentina",si,2425000.0,14264.70588235294,53262352,-34.5879899,-58.4064531
$ 180.000,"Recoleta, Capital Federal",$ 60.000 Expensas,1.0,22.0,"AZCUÉNAGA 1300,Recoleta, Capital Federal, Buenos Aires, Argentina",no,180000.0,8181.818181818182,53267040,-34.593497,-58.399349
USD 900,"Palermo, Capital Federal",$ 60.000 Expensas,3.0,71.0,"Segui al 4600,Palermo, Capital Federal, Buenos Aires, Argentina",si,873000.0,12295.774647887323,53260208,-34.5728735,-58.4230381
$ 230.000,"Floresta, Capital Federal",$ 50.000 Expensas,1.0,38.0,"Avenida Segurola 883,Floresta, Capital Federal, Buenos Aires, Argentina",no,230000.0,6052.631578947368,53260223,-34.6237903,-58.4948889
USD 300,"Palermo Soho, Palermo",$ 85.000 Expensas,1.0,38.0,"Godoy Cruz al 2300,Palermo Soho, Palermo, Buenos Aires, Argentina",si,291000.0,7657.894736842105,53262730,-34.5797307,-58.4261823
$ 230.000,"Flores Sur, Flores",$ 20.000 Expensas,2.0,35.0,"Ramón Falcón 2689,Flores Sur, Flores, Buenos Aires, Argentina",no,230000.0,6571.428571428572,53268266,,
$ 595.000,"Villa Urquiza, Capital Federal",$ 85.000 Expensas,3.0,74.0,"Cullen 4900,Villa Urquiza, Capital Federal, Buenos Aires, Argentina",no,595000.0,8040.540540540541,53263705,-34.571571,-58.48528
$ 250.000,"Barrio Norte, Capital Federal",$ 15.000 Expensas,1.0,30.0,"Talcahuano 1070,Barrio Norte, Capital Federal, Buenos Aires, Argentina",no,250000.0,8333.333333333334,53262717,,
USD 800,"Las Cañitas, Palermo",,3.0,82.0,"Migueletes - Las Cañitas,Las Cañitas, Palermo, Buenos Aires, Argentina",si,776000.0,9463.414634146342,53262877,-34.5683883,-58.4307548
$ 500.000,"Recoleta, Capital Federal",$ 62.500 Expensas,1.0,35.0,"Pacheco de Melo 2734,Recoleta, Capital Federal, Buenos Aires, Argentina",no,500000.0,14285.714285714286,53264296,-34.58636520408164,-58.40229568163266
USD 350,"Recoleta, Capital Federal",,1.0,45.0,,si,339500.0,7544.444444444444,53275575,46.3144754,11.0480288
$ 600.000,"Flores Norte, Flores",$ 100.000 Expensas,3.0,102.0,"Avellaneda 2800,Flores Norte, Flores, Buenos Aires, Argentina",no,600000.0,5882.35294117647,53264452,,
USD 11.000,"Barrio Parque, Palermo",,6.0,500.0,"Mariscal Castilla 3000,Barrio Parque, Palermo, Buenos Aires, Argentina",si,10670000.0,21340.0,53257492,-34.5783339,-58.3993856
$ 450.000,"Flores, Capital Federal",$ 18.000 Expensas,3.0,60.0,,no,450000.0,7500.0,53257549,46.3144754,11.0480288
$ 900.000,"Retiro, Capital Federal",$ 150.000 Expensas,4.0,100.0,"Cerrito 1574,Retiro, Capital Federal, Buenos Aires, Argentina",no,900000.0,9000.0,53258875,-34.58914862040816,-58.382231159183675
USD 850,"Centro / Microcentro, Capital Federal",,2.0,40.0,"marcelo t 525,Centro / Microcentro, Capital Federal, Buenos Aires, Argentina",si,824500.0,20612.5,53258888,,
USD 1.000,"Palermo, Capital Federal",,3.0,90.0,"Av. Del Libertador  al 4500,Palermo, Capital Federal, Buenos Aires, Argentina",si,970000.0,10777.777777777776,53258895,-34.5623426,-58.4413038
$ 300.000,"Caballito, Capital Federal",,1.0,41.0,"Bogotá 200  2°,Caballito, Capital Federal, Buenos Aires, Argentina",no,300000.0,7317.073170731707,53260274,-34.6178886,-58.4441678
$ 500.000,"Caballito, Capital Federal",$ 65.000 Expensas,3.0,58.0,"Av. Juan B. Alberdi 200,Caballito, Capital Federal, Buenos Aires, Argentina",no,500000.0,8620.689655172413,53257940,-34.6242999,-58.4458161
